lick_id,label,bout_tag,harvest_tag,velocity_max,deceleration_min,decel_strength,electrode,spike_time,spike_type
0,3,1.0,1.0,345.6201452393512,-605.9843216365456,1329.3082509241156,0,-0.07600000000002183,SS
0,3,1.0,1.0,345.6201452393512,-605.9843216365456,1329.3082509241156,0,-0.06700000000000728,SS
0,3,1.0,1.0,345.6201452393512,-605.9843216365456,1329.3082509241156,0,-0.04700000000048021,SS
0,3,1.0,1.0,345.6201452393512,-605.9843216365456,1329.3082509241156,0,-0.0010000000002037268,SS
1,0,0.0,0.0,261.9540031328513,-512.703522405324,1857.8298094578313,0,-0.0999999999994543,SS
1,0,0.0,0.0,261.9540031328513,-512.703522405324,1857.8298094578313,0,-0.09499999999934516,SS
1,0,0.0,0.0,261.9540031328513,-512.703522405324,1857.8298094578313,0,-0.08599999999933061,SS
1,0,0.0,0.0,261.9540031328513,-512.703522405324,1857.8298094578313,0,-0.0749999999998181,SS
1,0,0.0,0.0,261.9540031328513,-512.703522405324,1857.8298094578313,0,-0.06199999999989814,SS
1,0,0.0,0.0,261.9540031328513,-512.703522405324,1857.8298094578313,0,-0.04199999999946158,SS
1,0,0.0,0.0,261.9540031328513,-512.703522405324,1857.8298094578313,0,-0.028999999999541615,SS
2,0,0.0,0.0,263.8764000573663,-594.6939088451056,1199.4381820825079,0,-0.09799999999995634,SS
2,0,0.0,0.0,263.8764000573663,-594.6939088451056,1199.4381820825079,0,-0.0929999999998472,SS
2,0,0.0,0.0,263.8764000573663,-594.6939088451056,1199.4381820825079,0,-0.08500000000003638,SS
2,0,0.0,0.0,263.8764000573663,-594.6939088451056,1199.4381820825079,0,-0.05999999999949068,SS
2,0,0.0,0.0,263.8764000573663,-594.6939088451056,1199.4381820825079,0,-0.03899999999975989,SS
2,0,0.0,0.0,263.8764000573663,-594.6939088451056,1199.4381820825079,0,-0.01099999999951251,SS
2,0,0.0,0.0,263.8764000573663,-594.6939088451056,1199.4381820825079,0,-0.001999999999497959,SS
3,0,0.0,0.0,282.1272342653971,-465.2037903726458,2541.6867951865897,0,-0.09100000000034925,SS
3,0,0.0,0.0,282.1272342653971,-465.2037903726458,2541.6867951865897,0,-0.0750000000007276,SS
3,0,0.0,0.0,282.1272342653971,-465.2037903726458,2541.6867951865897,0,-0.05400000000008731,SS
3,0,0.0,0.0,282.1272342653971,-465.2037903726458,2541.6867951865897,0,-0.028000000000247383,SS
4,0,0.0,0.0,273.69187261333013,-557.0614094583646,1941.077110725526,0,-0.08899999999994179,SS
4,0,0.0,0.0,273.69187261333013,-557.0614094583646,1941.077110725526,0,-0.07099999999991269,SS
4,0,0.0,0.0,273.69187261333013,-557.0614094583646,1941.077110725526,0,-0.033999999999650754,SS
4,0,0.0,0.0,273.69187261333013,-557.0614094583646,1941.077110725526,0,-0.004999999999199645,CS
5,0,0.0,0.0,285.84486446294807,-441.76532533690744,1196.0036169973432,0,-0.0819999999994252,SS
5,0,0.0,0.0,285.84486446294807,-441.76532533690744,1196.0036169973432,0,-0.07699999999931606,SS
5,0,0.0,0.0,285.84486446294807,-441.76532533690744,1196.0036169973432,0,-0.06300000000010186,SS
6,0,0.0,0.0,282.16654485586963,-448.93806254474595,2275.5366520672032,0,-0.08999999999923602,SS
6,0,0.0,0.0,282.16654485586963,-448.93806254474595,2275.5366520672032,0,-0.08399999999983265,SS
6,0,0.0,0.0,282.16654485586963,-448.93806254474595,2275.5366520672032,0,-0.07399999999961437,SS
6,0,0.0,0.0,282.16654485586963,-448.93806254474595,2275.5366520672032,0,-0.06299999999919237,SS
6,0,0.0,0.0,282.16654485586963,-448.93806254474595,2275.5366520672032,0,-0.052999999999883585,SS
6,0,0.0,0.0,282.16654485586963,-448.93806254474595,2275.5366520672032,0,-0.03099999999994907,SS
6,0,0.0,0.0,282.16654485586963,-448.93806254474595,2275.5366520672032,0,-0.001999999999497959,SS
7,0,0.0,0.0,237.25621612170113,-386.0636614734801,1482.8513507619807,0,-0.09099999999943975,SS
7,0,0.0,0.0,237.25621612170113,-386.0636614734801,1482.8513507619807,0,-0.08399999999983265,SS
7,0,0.0,0.0,237.25621612170113,-386.0636614734801,1482.8513507619807,0,-0.07799999999951979,SS
7,0,0.0,0.0,237.25621612170113,-386.0636614734801,1482.8513507619807,0,-0.06999999999970896,SS
7,0,0.0,0.0,237.25621612170113,-386.0636614734801,1482.8513507619807,0,-0.06300000000010186,SS
7,0,0.0,0.0,237.25621612170113,-386.0636614734801,1482.8513507619807,0,-0.05400000000008731,SS
7,0,0.0,0.0,237.25621612170113,-386.0636614734801,1482.8513507619807,0,-0.03899999999975989,SS
7,0,0.0,0.0,237.25621612170113,-386.0636614734801,1482.8513507619807,0,-0.032000000000152795,SS
7,0,0.0,0.0,237.25621612170113,-386.0636614734801,1482.8513507619807,0,-0.021999999999934516,SS
7,0,0.0,0.0,237.25621612170113,-386.0636614734801,1482.8513507619807,0,-0.011999999999716238,SS
8,0,0.0,0.0,306.0491010237862,-573.1661114951518,1200.192553033942,0,-0.07899999999972351,SS
8,0,0.0,0.0,306.0491010237862,-573.1661114951518,1200.192553033942,0,-0.07200000000011642,SS
